,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
SF3A1,SF3A1,-0.0953941413333341,7.02831514266667,-1.02947172696415,0.320864600252189,0.476565256503597,-6.98240950428692
FCHO2,FCHO2,-0.153006733333333,6.82437539733333,-1.85101748688963,0.085561234739912,0.174901969378676,-5.89203207970665
PPIF,PPIF,0.0866857826666676,6.65697515,1.04748463886286,0.312774874427225,0.467718850030007,-6.96385847761166
FOXK1,FOXK1,-0.0306821729999989,8.30750206983333,-0.367234433622871,0.718982786729976,0.817888121990898,-7.45650512586946
ADCK5,ADCK5,-0.135222441000002,7.36868294916667,-1.56532937876583,0.14001395907478,0.258975604073467,-6.32243518312839
OAZ3,OAZ3,-0.0951766063333341,6.88965509383333,-1.26743900233861,0.22585022700384,0.370941772960682,-6.71589999250795
GAS5,GAS5,0.147033858,6.78109025766667,1.56369823903765,0.140395754355067,0.259570065272555,-6.32475310589718
SLC37A1,SLC37A1,-0.0720938383333323,8.24383688683333,-0.786867797613157,0.444587706710501,0.597952977548246,-7.20448515806657
QRSL1,QRSL1,-0.122630063,6.82404092716667,-1.46924992003981,0.164063937388448,0.291659167238261,-6.45602655550653
ZBTB47,ZBTB47,0.0762963263333347,6.57819157416667,0.936449738251875,0.365050391383993,0.52163928682359,-7.07376467459608
MN1,MN1,0.141926094333332,7.06728318016667,1.72380125855088,0.106934111727084,0.209385566279703,-6.0894651266256
HSFY2,HSFY2,-0.0783313489999982,6.63068106883333,-0.876909916141683,0.395459967344338,0.551581726604263,-7.12823456480582
RNF216,RNF216,0.00244176066667023,8.14896808566667,0.0278147522960117,0.978205865990624,0.986855780918,-7.52782654877864
MGC23284,MGC23284,-0.109003682,6.96623807566667,-1.40957333169309,0.180677093713354,0.314089683407842,-6.53588910293109
RNF5P1,RNF5P1,0.0524354750000002,7.94150555683333,0.518577211246372,0.612223637673669,0.740828527960291,-7.385878545797
MAGEA11,MAGEA11,0.101150620666668,6.67134034366667,1.24554839824124,0.233546899072583,0.379491633834603,-6.7422918908564
RPS6KC1,RPS6KC1,-0.199678565666668,7.06426244483333,-2.31559654262676,0.0364060229155782,0.0870934213077814,-5.10613569516102
PPARGC1B,PPARGC1B,0.0441169813333318,6.51179361333333,0.567675669631161,0.579322440074715,0.714906183348639,-7.35796772017808
